,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
2,ENCFF000AXU,/experiments/ENCSR000APY/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AXU/@@download/ENCFF000AXU.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
4,ENCFF000VJJ,/experiments/ENCSR000EXK/,.,Panc1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VJJ/@@download/ENCFF000VJJ.bigWig,signal,"/files/ENCFF000VJK/, /files/ENCFF000VJM/, /files/ENCFF000VJN/, /files/ENCFF843DLH/, /files/ENCFF025ODI/, /files/ENCFF675MQQ/, /files/ENCFF703KFY/"
6,ENCFF000AJG,/experiments/ENCSR000AST/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AJG/@@download/ENCFF000AJG.bigWig,signal,"/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/"
14,ENCFF001EMH,/experiments/ENCSR000DPI/,.,AG04449,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EMH/@@download/ENCFF001EMH.bigWig,raw signal,"/files/ENCFF001GWG/, /files/ENCFF001GWH/, /files/ENCFF001GWR/, /files/ENCFF430CVT/, /files/ENCFF353NNK/, /files/ENCFF083JSC/, /files/ENCFF509FDD/"
15,ENCFF001EMJ,/experiments/ENCSR000DPI/,.,AG04449,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EMJ/@@download/ENCFF001EMJ.bigWig,raw signal,"/files/ENCFF001GWG/, /files/ENCFF001GWH/, /files/ENCFF001GWR/, /files/ENCFF430CVT/, /files/ENCFF353NNK/, /files/ENCFF083JSC/, /files/ENCFF509FDD/"
19,ENCFF000ASF,/experiments/ENCSR000AKA/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ASF/@@download/ENCFF000ASF.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
20,ENCFF000ATR,/experiments/ENCSR000AKA/,.,GM12878,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000ATR/@@download/ENCFF000ATR.bigWig,signal,"/files/ENCFF000AQZ/, /files/ENCFF000ARA/, /files/ENCFF000ARD/, /files/ENCFF000ARK/, /files/ENCFF000ARO/, /files/ENCFF231IAK/, /files/ENCFF651UIO/, /files/ENCFF858ORL/, /files/ENCFF684NLR/, /files/ENCFF303HPA/, /files/ENCFF797ARJ/, /files/ENCFF434HLD/, /files/ENCFF611CHF/, /files/ENCFF852TVX/, /files/ENCFF873ZWP/, /files/ENCFF953EVD/, /files/ENCFF547XEQ/, /files/ENCFF055OBO/, /files/ENCFF691DXH/, /files/ENCFF151JBU/, /files/ENCFF213TCX/, /files/ENCFF339YTX/, /files/ENCFF663HUX/, /files/ENCFF430BAQ/, /files/ENCFF624TPS/, /files/ENCFF232FPZ/"
29,ENCFF001EWB,/experiments/ENCSR000DRC/,.,GM12865,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EWB/@@download/ENCFF001EWB.bigWig,raw signal,"/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/"
30,ENCFF001EWD,/experiments/ENCSR000DRC/,.,GM12865,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EWD/@@download/ENCFF001EWD.bigWig,raw signal,"/files/ENCFF001HCT/, /files/ENCFF001HCU/, /files/ENCFF001HDF/, /files/ENCFF075MWT/, /files/ENCFF801BOV/, /files/ENCFF593BXM/, /files/ENCFF108NWK/"
32,ENCFF000BEW,/experiments/ENCSR000ATD/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BEW/@@download/ENCFF000BEW.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
