Accession	Dataset	Tissue	CellLine	PrimaryCell	Lab	Link	DataType	Controls
ENCFF000CWC	/experiments/ENCSR000APK/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CWC/@@download/ENCFF000CWC.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF000CVQ	/experiments/ENCSR000API/	.	.	osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CVQ/@@download/ENCFF000CVQ.bigWig	signal	/files/ENCFF000CUQ/, /files/ENCFF000CUR/, /files/ENCFF000CUS/, /files/ENCFF000CUZ/, /files/ENCFF000CVB/, /files/ENCFF076RWI/, /files/ENCFF917GFZ/, /files/ENCFF699UTE/, /files/ENCFF535QXZ/, /files/ENCFF196FGA/, /files/ENCFF481RBK/, /files/ENCFF499ETY/, /files/ENCFF010EZQ/, /files/ENCFF199WRC/, /files/ENCFF310GMD/, /files/ENCFF261SLA/, /files/ENCFF160WLY/, /files/ENCFF978AGM/
ENCFF000AXU	/experiments/ENCSR000APY/	.	H1	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AXU/@@download/ENCFF000AXU.bigWig	signal	/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/
ENCFF000BTM	/experiments/ENCSR000ASD/	.	.	endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BTM/@@download/ENCFF000BTM.bigWig	signal	/files/ENCFF000BQJ/, /files/ENCFF000BQK/, /files/ENCFF000BQM/, /files/ENCFF000BQP/, /files/ENCFF000BQS/, /files/ENCFF000BQV/, /files/ENCFF000BQW/, /files/ENCFF780ZFP/, /files/ENCFF261CBZ/, /files/ENCFF771PFZ/, /files/ENCFF039WIG/, /files/ENCFF636OYP/, /files/ENCFF496RFB/, /files/ENCFF907AUP/
ENCFF000VJJ	/experiments/ENCSR000EXK/	.	Panc1	.	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000VJJ/@@download/ENCFF000VJJ.bigWig	signal	/files/ENCFF000VJK/, /files/ENCFF000VJM/, /files/ENCFF000VJN/, /files/ENCFF843DLH/, /files/ENCFF025ODI/, /files/ENCFF675MQQ/, /files/ENCFF703KFY/
ENCFF000CJN	/experiments/ENCSR000ARV/	.	.	fibroblast of dermis	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CJN/@@download/ENCFF000CJN.bigWig	signal	/files/ENCFF000CIN/, /files/ENCFF000CIO/, /files/ENCFF000CIP/, /files/ENCFF000CIU/, /files/ENCFF000CIW/, /files/ENCFF090CYH/, /files/ENCFF138XPE/, /files/ENCFF898XQK/, /files/ENCFF860HKY/, /files/ENCFF955HWE/, /files/ENCFF412GJA/, /files/ENCFF859VNG/, /files/ENCFF204ZPV/, /files/ENCFF092GQD/, /files/ENCFF753JIU/, /files/ENCFF615VVU/, /files/ENCFF487DBD/, /files/ENCFF782IQQ/, /files/ENCFF739WQP/, /files/ENCFF005RXL/, /files/ENCFF429XTA/, /files/ENCFF638YZB/
ENCFF000AJG	/experiments/ENCSR000AST/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AJG/@@download/ENCFF000AJG.bigWig	signal	/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/
ENCFF001FFS	/experiments/ENCSR000DSW/	.	.	astrocyte of the spinal cord	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FFS/@@download/ENCFF001FFS.bigWig	raw signal	/files/ENCFF001HJK/, /files/ENCFF001HJL/, /files/ENCFF001HJV/, /files/ENCFF033LOS/, /files/ENCFF336OEL/, /files/ENCFF645ZPA/, /files/ENCFF686TPQ/
ENCFF001FFT	/experiments/ENCSR000DSW/	.	.	astrocyte of the spinal cord	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FFT/@@download/ENCFF001FFT.bigWig	raw signal	/files/ENCFF001HJK/, /files/ENCFF001HJL/, /files/ENCFF001HJV/, /files/ENCFF033LOS/, /files/ENCFF336OEL/, /files/ENCFF645ZPA/, /files/ENCFF686TPQ/
ENCFF001GBY	/experiments/ENCSR000DXF/	.	.	epithelial cell of proximal tubule	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GBY/@@download/ENCFF001GBY.bigWig	raw signal	/files/ENCFF001HWM/, /files/ENCFF001HWN/, /files/ENCFF001HWY/, /files/ENCFF671FKH/, /files/ENCFF870RFE/, /files/ENCFF518AQJ/, /files/ENCFF634UTF/
